row_id,movie_name,rating,votes,meta_score,genre0,genre1,genre2,genre3,pr_rating,year,duration,cast0,cast1,cast2,cast3,cast4,director,number_rating,weekly_rank,weekly_hours_viewed,weekly_views,cumulative_weeks_in_top_10
649,Heart of Stone,5.7,55000.0,44.0,"Action, Crime, Thriller",Action, Crime, Thriller,PG-13,2023,2.033,"Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi",Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi,Tom Harper,3.0,1.0,69600000.0,33100000.0,1.0
1927,The Lincoln Lawyer,7.3,251000.0,63.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2011,1.967,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy",Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy,Brad Furman,4.0,2.0,42400000.0,5200000.0,6.0
1927,The Lincoln Lawyer,7.3,251000.0,63.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2011,1.967,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy",Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy,Brad Furman,4.0,8.0,18300000.0,2200000.0,11.0
1106,They Cloned Tyrone,6.6,35000.0,74.0,"Comedy, Mystery, Sci-Fi",Comedy, Mystery, Sci-Fi,R,2023,2.033,"John Boyega, Jamie Foxx, Teyonah Parris, Kiefer Sutherland",John Boyega, Jamie Foxx, Teyonah Parris, Kiefer Sutherland,Juel Taylor,4.0,8.0,7500000.0,3600000.0,3.0
1927,The Lincoln Lawyer,7.3,251000.0,63.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2011,1.967,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy",Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy,Brad Furman,4.0,1.0,55200000.0,6700000.0,5.0
1927,The Lincoln Lawyer,7.3,251000.0,63.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2011,1.967,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy",Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy,Brad Furman,4.0,6.0,17300000.0,2100000.0,10.0
1106,They Cloned Tyrone,6.6,35000.0,74.0,"Comedy, Mystery, Sci-Fi",Comedy, Mystery, Sci-Fi,R,2023,2.033,"John Boyega, Jamie Foxx, Teyonah Parris, Kiefer Sutherland",John Boyega, Jamie Foxx, Teyonah Parris, Kiefer Sutherland,Juel Taylor,4.0,3.0,23000000.0,11100000.0,2.0
904,The Out-Laws,5.4,33000.0,36.0,"Action, Comedy, Crime",Action, Comedy, Crime,R,2023,1.583,"Adam Devine, Pierce Brosnan, Ellen Barkin, Nina Dobrev",Adam Devine, Pierce Brosnan, Ellen Barkin, Nina Dobrev,Tyler Spindel,4.0,6.0,8900000.0,5500000.0,4.0
493,Puss in Boots: The Last Wish,7.8,163000.0,73.0,"Animation, Adventure, Comedy",Animation, Adventure, Comedy,PG,2022,1.7,"Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh",Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh,Joel CrawfordJanuel Mercado,2.0,8.0,7200000.0,4200000.0,3.0
1927,The Lincoln Lawyer,7.3,251000.0,63.0,"Crime, Drama, Mystery",Crime, Drama, Mystery,R,2011,1.967,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy",Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy,Brad Furman,4.0,4.0,12600000.0,3000000.0,4.0
904,The Out-Laws,5.4,33000.0,36.0,"Action, Comedy, Crime",Action, Comedy, Crime,R,2023,1.583,"Adam Devine, Pierce Brosnan, Ellen Barkin, Nina Dobrev",Adam Devine, Pierce Brosnan, Ellen Barkin, Nina Dobrev,Tyler Spindel,4.0,1.0,19500000.0,12100000.0,3.0
